iter	Passed	Remaining
718	1124	439
719	1126	437
720	1127	436
721	1128	434
722	1130	432
723	1131	431
724	1132	429
725	1133	427
726	1135	426
727	1136	424
728	1137	423
729	1139	421
730	1140	419
731	1142	418
732	1143	416
733	1144	414
734	1145	413
735	1146	411
736	1148	409
737	1149	407
738	1150	406
739	1151	404
740	1153	403
741	1154	401
742	1156	399
743	1157	398
744	1158	396
745	1159	394
746	1161	393
747	1162	391
748	1163	390
749	1165	388
750	1166	386
751	1168	385
752	1169	383
753	1170	382
754	1171	380
755	1173	378
756	1174	376
757	1175	375
758	1176	373
759	1177	371
760	1179	370
761	1180	368
762	1182	367
763	1183	365
764	1184	363
765	1185	362
766	1187	360
767	1188	358
768	1189	357
769	1190	355
770	1191	353
771	1193	352
772	1194	350
773	1195	349
774	1197	347
775	1199	346
776	1200	344
777	1201	342
778	1203	341
779	1204	339
780	1205	338
781	1207	336
782	1208	335
783	1210	333
784	1211	331
785	1213	330
786	1214	328
787	1215	327
788	1217	325
789	1218	323
790	1220	322
791	1221	320
792	1222	319
793	1223	317
794	1225	315
795	1226	314
796	1227	312
797	1229	311
798	1230	309
799	1231	307
800	1233	306
801	1234	304
802	1235	303
803	1236	301
804	1238	299
805	1239	298
806	1241	296
807	1242	295
808	1244	293
809	1245	292
810	1247	290
811	1248	289
812	1249	287
813	1251	285
814	1252	284
815	1254	282
816	1255	281
817	1257	279
818	1258	278
819	1259	276
820	1261	274
821	1262	273
822	1264	271
823	1265	270
824	1267	268
825	1268	267
826	1270	265
827	1271	264
828	1273	262
829	1275	261
830	1276	259
831	1277	257
832	1278	256
833	1280	254
834	1281	253
835	1283	251
836	1284	250
837	1285	248
838	1287	247
839	1288	245
840	1289	243
841	1291	242
842	1292	240
843	1294	239
844	1295	237
845	1297	236
846	1298	234
847	1299	232
848	1301	231
849	1302	229
850	1303	228
851	1305	226
852	1306	225
853	1308	223
854	1309	222
855	1310	220
856	1311	218
857	1313	217
858	1314	215
859	1315	214
860	1317	212
861	1318	211
862	1319	209
863	1321	208
864	1322	206
865	1324	204
866	1325	203
867	1326	201
868	1327	200
869	1329	198
870	1330	197
871	1331	195
872	1333	193
873	1334	192
874	1336	190
875	1337	189
876	1339	187
877	1340	186
878	1341	184
879	1342	183
880	1344	181
881	1345	180
882	1347	178
883	1348	177
884	1350	175
885	1351	173
886	1353	172
887	1354	170
888	1355	169
889	1357	167
890	1358	166
891	1359	164
892	1361	163
893	1362	161
894	1364	160
895	1365	158
896	1366	156
897	1368	155
898	1369	153
899	1370	152
900	1371	150
901	1373	149
902	1374	147
903	1376	146
904	1378	144
905	1379	143
906	1380	141
907	1381	140
908	1383	138
909	1384	136
910	1386	135
911	1387	133
912	1388	132
913	1390	130
914	1391	129
915	1393	127
916	1394	126
917	1395	124
918	1396	123
919	1398	121
920	1399	120
921	1400	118
922	1402	116
923	1403	115
924	1405	113
925	1406	112
926	1407	110
927	1408	109
928	1410	107
929	1411	106
930	1412	104
931	1414	103
932	1415	101
933	1416	100
934	1417	98
935	1419	97
936	1420	95
937	1421	93
938	1423	92
939	1424	90
940	1425	89
941	1426	87
942	1428	86
943	1429	84
944	1430	83
945	1432	81
946	1433	80
947	1435	78
948	1436	77
949	1437	75
950	1439	74
951	1440	72
